base_element,solute_element,nominal_solute_fraction,actual_solute_fraction,seed,a0_mix,E0_eV,V0_A3,Tm_linear_K,hydro_fit,normal_fit,shear_fit,B_eVA3,C11_eVA3,C12_eVA3,C44_eVA3,GV_eVA3,GR_eVA3,G_eVA3,B_over_G,B_GPa,C11_GPa,C12_GPa,C44_GPa,GV_GPa,GR_GPa,G_GPa,born_c1,born_c2,born_c3,born_stable,status
W,Ta,0.0,0.0,42,3.17,-1658.140241864725,2061.8039985013606,3695.0,"{'family': 'hydrostatic', 'x': array([-0.01  , -0.0075, -0.005 , -0.0025,  0.0025,  0.005 ,  0.0075,
        0.01  ]), 'y': array([9.12807472e-04, 5.10873371e-04, 2.27163517e-04, 5.81292252e-05,
       4.88405482e-05, 2.00460195e-04, 4.50656666e-04, 7.95686122e-04]), 'a2': np.float64(8.54108780051905)}","{'family': 'normal', 'x': array([-0.01  , -0.0075, -0.005 , -0.0025,  0.0025,  0.005 ,  0.0075,
        0.01  ]), 'y': array([1.72666155e-04, 9.74492456e-05, 4.38591292e-05, 1.15481940e-05,
       8.75059890e-06, 3.73557882e-05, 8.53925924e-05, 1.52370653e-04]), 'a2': np.float64(1.6253527174784224)}","{'family': 'shear', 'x': array([-0.04, -0.03, -0.02, -0.01,  0.01,  0.02,  0.03,  0.04]), 'y': array([0.00292183, 0.00162887, 0.00072093, 0.00018005, 0.00018004,
       0.00072093, 0.00162888, 0.00292183]), 'a2': np.float64(1.82832276237981)}",1.8980195112264555,3.2507054349568447,1.221676549361261,0.914161381189905,0.9543026058330597,0.9518220605668876,0.9530623331999737,1.9914956714884762,304.096248670927,520.8204248995352,195.73416055662292,146.46479925807026,152.8961324234246,152.49870526019487,152.69741884180974,True,True,True,True,success
W,Ta,0.0,0.0,52,3.17,-1658.1402457663257,2061.803999227761,3695.0,"{'family': 'hydrostatic', 'x': array([-0.01  , -0.0075, -0.005 , -0.0025,  0.0025,  0.005 ,  0.0075,
        0.01  ]), 'y': array([9.12810762e-04, 5.10877979e-04, 2.27167631e-04, 5.81350667e-05,
       4.88409595e-05, 2.00461100e-04, 4.50655926e-04, 7.95688260e-04]), 'a2': np.float64(8.54108391974458)}","{'family': 'normal', 'x': array([-0.01  , -0.0075, -0.005 , -0.0025,  0.0025,  0.005 ,  0.0075,
        0.01  ]), 'y': array([1.72668047e-04, 9.74522897e-05, 4.38610215e-05, 1.15540355e-05,
       8.75175075e-06, 3.73580096e-05, 8.53946493e-05, 1.52372298e-04]), 'a2': np.float64(1.6253389916593235)}","{'family': 'shear', 'x': array([-0.04, -0.03, -0.02, -0.01,  0.01,  0.02,  0.03,  0.04]), 'y': array([0.00292184, 0.00162888, 0.00072093, 0.00018005, 0.00018004,
       0.00072093, 0.00162889, 0.00292184]), 'a2': np.float64(1.8283241616853416)}",1.898018648832129,3.250677983318647,1.2216889815888698,0.9141620808426708,0.9542950488515579,0.9518154941890068,0.9530552715202824,1.9915095226370996,304.0961105001242,520.8160266622428,195.7361524190649,146.46491135480068,152.894921661516,152.4976532104825,152.69628743599924,True,True,True,True,success
W,Ta,0.0,0.0,62,3.17,-1658.1402439003427,2061.8039936085997,3695.0,"{'family': 'hydrostatic', 'x': array([-0.01  , -0.0075, -0.005 , -0.0025,  0.0025,  0.005 ,  0.0075,
        0.01  ]), 'y': array([9.12811012e-04, 5.10876088e-04, 2.27165410e-04, 5.81312823e-05,
       4.88427697e-05, 2.00462088e-04, 4.50654939e-04, 7.95686535e-04]), 'a2': np.float64(8.541084096091204)}","{'family': 'normal', 'x': array([-0.01  , -0.0075, -0.005 , -0.0025,  0.0025,  0.005 ,  0.0075,
        0.01  ]), 'y': array([1.72667225e-04, 9.74499863e-05, 4.38606102e-05, 1.15495104e-05,
       8.75207987e-06, 3.73558706e-05, 8.53918522e-05, 1.52370900e-04]), 'a2': np.float64(1.6253449913167828)}","{'family': 'shear', 'x': array([-0.04, -0.03, -0.02, -0.01,  0.01,  0.02,  0.03,  0.04]), 'y': array([0.00292183, 0.00162888, 0.00072093, 0.00018005, 0.00018005,
       0.00072093, 0.00162888, 0.00292184]), 'a2': np.float64(1.8283233805916772)}",1.8980186880202676,3.2506899826335656,1.2216830407136186,0.9141616902958386,0.9542984025614926,0.9518183985120092,0.9530584005367508,1.991503025366889,304.0961167787562,520.8179491644256,195.7352005859214,146.4648487823003,152.895458985081,152.49811853432388,152.69678875970243,True,True,True,True,success
W,Ta,0.05,0.046875,42,3.1765,-1653.903070044692,2073.5076977924173,3676.015625,"{'family': 'hydrostatic', 'x': array([-0.01  , -0.0075, -0.005 , -0.0025,  0.0025,  0.005 ,  0.0075,
        0.01  ]), 'y': array([8.72052580e-04, 4.82654870e-04, 2.09748029e-04, 5.00372173e-05,
       5.58411036e-05, 2.13453065e-04, 4.68691527e-04, 8.17992328e-04]), 'a2': np.float64(8.448364897802)}","{'family': 'normal', 'x': array([-0.01  , -0.0075, -0.005 , -0.0025,  0.0025,  0.005 ,  0.0075,
        0.01  ]), 'y': array([1.59588341e-04, 8.81827796e-05, 3.80936125e-05, 8.85108399e-06,
       1.10922023e-05, 4.16607982e-05, 9.12618835e-05, 1.59459081e-04]), 'a2': np.float64(1.595223741014229)}","{'family': 'shear', 'x': array([-0.04, -0.03, -0.02, -0.01,  0.01,  0.02,  0.03,  0.04]), 'y': array([0.00278016, 0.00154627, 0.00068338, 0.00017067, 0.00017   ,
       0.00068218, 0.00154477, 0.00277862]), 'a2': np.float64(1.7400166630412943)}",1.8774144217337776,3.190447482028458,1.2208978915864375,0.8700083315206472,0.9159149170007923,0.9125479674621119,0.9142314422314521,2.053543922260421,300.79494940546095,511.16603655962234,195.60940582838032,139.39070086635965,146.74574666606418,146.20630188263547,146.47602427434984,True,True,True,True,success
W,Ta,0.05,0.046875,52,3.1765,-1653.883203772072,2072.9345665219817,3676.015625,"{'family': 'hydrostatic', 'x': array([-0.01  , -0.0075, -0.005 , -0.0025,  0.0025,  0.005 ,  0.0075,
        0.01  ]), 'y': array([8.88165232e-04, 4.94563783e-04, 2.17574280e-04, 5.38875547e-05,
       5.21134933e-05, 2.06132775e-04, 4.57909231e-04, 8.03850957e-04]), 'a2': np.float64(8.45821123670079)}","{'family': 'normal', 'x': array([-0.01  , -0.0075, -0.005 , -0.0025,  0.0025,  0.005 ,  0.0075,
        0.01  ]), 'y': array([1.65334600e-04, 9.24711600e-05, 4.09360636e-05, 1.02657263e-05,
       9.68659288e-06, 3.88706761e-05, 8.71081411e-05, 1.53953733e-04]), 'a2': np.float64(1.5964689152943474)}","{'family': 'shear', 'x': array([-0.04, -0.03, -0.02, -0.01,  0.01,  0.02,  0.03,  0.04]), 'y': array([0.00278649, 0.00154975, 0.00068481, 0.00017093, 0.00017058,
       0.00068411, 0.00154875, 0.00278524]), 'a2': np.float64(1.744049403089108)}",1.87960249704462,3.192937830588695,1.2229348302725824,0.872024701544554,0.9172154209899549,0.9139559332836462,0.9155856771368005,2.052896352553779,301.1455177162191,511.56503438370777,195.93575938247477,139.7137589574782,146.95411037473352,146.43188287485026,146.69299662479187,True,True,True,True,success
W,Ta,0.05,0.046875,62,3.1765,-1653.8750836926797,2072.8064829228106,3676.015625,"{'family': 'hydrostatic', 'x': array([-0.01  , -0.0075, -0.005 , -0.0025,  0.0025,  0.005 ,  0.0075,
        0.01  ]), 'y': array([8.95077093e-04, 4.99681817e-04, 2.20941046e-04, 5.55519551e-05,
       5.04832224e-05, 2.02904391e-04, 4.53109480e-04, 7.97500061e-04]), 'a2': np.float64(8.461026400413868)}","{'family': 'normal', 'x': array([-0.01  , -0.0075, -0.005 , -0.0025,  0.0025,  0.005 ,  0.0075,
        0.01  ]), 'y': array([1.66870854e-04, 9.36194994e-05, 4.16915049e-05, 1.06388882e-05,
       9.31237234e-06, 3.81329331e-05, 8.60121448e-05, 1.52507344e-04]), 'a2': np.float64(1.5969571656059536)}","{'family': 'shear', 'x': array([-0.04, -0.03, -0.02, -0.01,  0.01,  0.02,  0.03,  0.04]), 'y': array([0.00278774, 0.00155112, 0.00068591, 0.00017155, 0.00016991,
       0.0006828 , 0.00154685, 0.00278265]), 'a2': np.float64(1.7436177200858807)}",1.8802280889808596,3.193914331211907,1.2233849678653357,0.8718088600429403,0.9171911886950784,0.9139042521748791,0.9155477204349788,2.053664759372192,301.2457485936595,511.72148703057854,196.00787937520002,139.6791773367098,146.9502279331016,146.4236026484299,146.68691529076574,True,True,True,True,success
W,Ta,0.1,0.1015625,42,3.1830000000000003,-1648.3857977465732,2085.6256019813486,3653.8671875,"{'family': 'hydrostatic', 'x': array([-0.01  , -0.0075, -0.005 , -0.0025,  0.0025,  0.005 ,  0.0075,
        0.01  ]), 'y': array([8.63315527e-04, 4.78185617e-04, 2.07999940e-04, 4.97122489e-05,
       5.51246198e-05, 2.10964283e-04, 4.63338035e-04, 8.08691932e-04]), 'a2': np.float64(8.357540747005423)}","{'family': 'normal', 'x': array([-0.01  , -0.0075, -0.005 , -0.0025,  0.0025,  0.005 ,  0.0075,
        0.01  ]), 'y': array([1.56222915e-04, 8.63496173e-05, 3.73327031e-05, 8.70612191e-06,
       1.07567455e-05, 4.05146996e-05, 8.88268440e-05, 1.55254294e-04]), 'a2': np.float64(1.5574241371068847)}","{'family': 'shear', 'x': array([-0.04, -0.03, -0.02, -0.01,  0.01,  0.02,  0.03,  0.04]), 'y': array([0.00263792, 0.00146466, 0.00064677, 0.00016177, 0.00015942,
       0.00064221, 0.00145825, 0.00263028]), 'a2': np.float64(1.649804096351899)}",1.8572312771123163,3.1148482742137693,1.22842277856159,0.8249020481759495,0.8722263280360056,0.8684765519014425,0.870351439968724,2.1338866023810517,297.56125316078794,499.0537082284529,196.8150256269555,132.16387760375414,139.74606308255198,139.14528271694888,139.44567289975043,True,True,True,True,success
W,Ta,0.1,0.1015625,52,3.1830000000000003,-1648.3634807597605,2085.5863916779535,3653.8671875,"{'family': 'hydrostatic', 'x': array([-0.01  , -0.0075, -0.005 , -0.0025,  0.0025,  0.005 ,  0.0075,
        0.01  ]), 'y': array([8.63967893e-04, 4.78711583e-04, 2.08374827e-04, 4.99141666e-05,
       5.48950665e-05, 2.10482344e-04, 4.62596902e-04, 8.07712713e-04]), 'a2': np.float64(8.355961403668656)}","{'family': 'normal', 'x': array([-0.01  , -0.0075, -0.005 , -0.0025,  0.0025,  0.005 ,  0.0075,
        0.01  ]), 'y': array([1.55798916e-04, 8.60418357e-05, 3.71323406e-05, 8.60672941e-06,
       1.08544705e-05, 4.07108322e-05, 8.91250678e-05, 1.55654543e-04]), 'a2': np.float64(1.5573059522191195)}","{'family': 'shear', 'x': array([-0.04, -0.03, -0.02, -0.01,  0.01,  0.02,  0.03,  0.04]), 'y': array([0.00262785, 0.00145613, 0.00064065, 0.00015861, 0.00016248,
       0.00064798, 0.00146615, 0.00263949]), 'a2': np.float64(1.6495548076985036)}",1.8568803119263682,3.114611904438239,1.228014515670433,0.8247774038492518,0.8721859200631122,0.8684227901655547,0.8703043551143335,2.1335987818680127,297.50502233922384,499.015837615631,196.74961470102028,132.14390738113912,139.7395890116056,139.13666913731558,139.4381290744606,True,True,True,True,success
W,Ta,0.1,0.1015625,62,3.1830000000000003,-1648.426991695757,2085.562775159411,3653.8671875,"{'family': 'hydrostatic', 'x': array([-0.01  , -0.0075, -0.005 , -0.0025,  0.0025,  0.005 ,  0.0075,
        0.01  ]), 'y': array([8.66250251e-04, 4.80379871e-04, 2.09460605e-04, 5.04454602e-05,
       5.43823660e-05, 2.09495173e-04, 4.61158723e-04, 8.05826692e-04]), 'a2': np.float64(8.357975694886791)}","{'family': 'normal', 'x': array([-0.01  , -0.0075, -0.005 , -0.0025,  0.0025,  0.005 ,  0.0075,
        0.01  ]), 'y': array([1.57998830e-04, 8.76829841e-05, 3.82196763e-05, 9.14869843e-06,
       1.03063775e-05, 3.96229138e-05, 8.74896445e-05, 1.53473772e-04]), 'a2': np.float64(1.557438140561304)}","{'family': 'shear', 'x': array([-0.04, -0.03, -0.02, -0.01,  0.01,  0.02,  0.03,  0.04]), 'y': array([0.00263651, 0.00146278, 0.00064492, 0.00016053, 0.00016128,
       0.00064651, 0.00146547, 0.00264073]), 'a2': np.float64(1.652601366825541)}",1.8573279321970648,3.114876281122608,1.228553757734293,0.8263006834127705,0.8730449147253253,0.8693886535986182,0.8712167841619718,2.131878042252869,297.5767390124945,499.05819542990906,196.83601080378716,132.38796367150033,139.8772151281246,139.29141751844958,139.58431632328708,True,True,True,True,success
W,Ta,0.15,0.1484375,42,3.1895,-1642.9286381113686,2096.1216592787064,3634.8828125,"{'family': 'hydrostatic', 'x': array([-0.01  , -0.0075, -0.005 , -0.0025,  0.0025,  0.005 ,  0.0075,
        0.01  ]), 'y': array([8.50403461e-04, 4.71069423e-04, 2.04884629e-04, 4.89388273e-05,
       5.43796129e-05, 2.07991210e-04, 4.56676307e-04, 7.96905963e-04]), 'a2': np.float64(8.233868777497092)}","{'family': 'normal', 'x': array([-0.01  , -0.0075, -0.005 , -0.0025,  0.0025,  0.005 ,  0.0075,
        0.01  ]), 'y': array([1.50675693e-04, 8.30679217e-05, 3.57338956e-05, 8.19670589e-06,
       1.06871015e-05, 3.98022242e-05, 8.69030970e-05, 1.51562096e-04]), 'a2': np.float64(1.5112288794753193)}","{'family': 'shear', 'x': array([-0.04, -0.03, -0.02, -0.01,  0.01,  0.02,  0.03,  0.04]), 'y': array([0.00251581, 0.00139345, 0.00061293, 0.00015181, 0.0001551 ,
       0.0006192 , 0.00140193, 0.00252526]), 'a2': np.float64(1.5788699827265182)}",1.829748617221576,3.0224577589506385,1.233394046357045,0.7894349913632591,0.8314737373366743,0.828364170570181,0.8299189539534276,2.2047316891671516,293.15804564535375,484.2511158746275,197.61151053071688,126.48142868036636,133.21677827700196,132.71857075959272,132.96767451829734,True,True,True,True,success
